,Identifier,SEDOL,PriceDate,Close,Close_crawler,Pricedate_crawler
351,EPAY.OQ,2389558,7/11/2019 0:00,42.86,42.86,07/14/2019 18:27
352,ERM.L,688666,7/11/2019 0:00,13.5,1350.00,07/14/2019 18:27
353,CISN.N,BF0BQG5,7/11/2019 0:00,10.98,Not found,07/14/2019 18:27
354,IRE.AX,6297497,7/11/2019 0:00,14.19,14.19,07/14/2019 18:27
355,6588.T,6894887,7/11/2019 0:00,3165.0,3165,07/14/2019 18:27
356,EBIX.OQ,2008400,7/11/2019 0:00,47.7,47.70,07/14/2019 18:27
357,BCOR.OQ,B8L2DV2,7/11/2019 0:00,29.14,29.14,07/14/2019 18:27
358,GBGP.L,687061,7/11/2019 0:00,5.52,552.00,07/14/2019 18:27
359,PFG.L,B1Z4ST8,7/11/2019 0:00,3.9720001000000003,397.20,07/14/2019 18:27
360,DHG.AX,BF17Y13,7/11/2019 0:00,3.14,3.14,07/14/2019 18:27
361,FRST.L,3147777,7/11/2019 0:00,29.5,2950.00,07/14/2019 18:27
362,DAL.MI,B14P8W5,7/11/2019 0:00,16.86,16.86,07/14/2019 18:27
363,CASH.OQ,2420316,7/11/2019 0:00,27.18,27.18,07/14/2019 18:27
364,9928.T,6594358,7/11/2019 0:00,3380.0,3380,07/14/2019 18:27
365,EVOP.OQ,BG5NSM3,7/11/2019 0:00,29.1,29.10,07/14/2019 18:27
366,QIWI.OQ,B8SCPH5,7/11/2019 0:00,20.21,20.21,07/14/2019 18:27
367,8083.HK,6699015,7/11/2019 0:00,0.45,0.45,07/14/2019 18:27
368,6287.T,6777579,7/11/2019 0:00,2720.0,2720,07/14/2019 18:27
369,PAYP.L,B02QND9,7/11/2019 0:00,9.01,901.00,07/14/2019 18:27
370,SPNS.OQ,BFYZGX0,7/11/2019 0:00,16.44,16.44,07/14/2019 18:27
371,BVS.AX,BZBHBM3,7/11/2019 0:00,4.64,4.64,07/14/2019 18:27
372,Z1P.AX,BYVLXJ9,7/11/2019 0:00,3.11,3.11,07/14/2019 18:27
373,034310.KS,6726430,7/11/2019 0:00,20800.0,20800.00,07/14/2019 18:27
374,3994.T,BD5ZWW6,7/11/2019 0:00,3575.0,3575,07/14/2019 18:27
